"gene_assignement"	"transcript_cluster_id"	"Gene_symbol"	"transcript_ID"	"GO_term"	"GO_description"	"Mid_FC"	"Old_FC"	"mid_padj"	"end_padj"	"Human.gene.name"
"ENSDARG00000092520"	"13030283"	"LOC799170"	"XM_001339521"	"GO:0005515"	"IPR013106"	0.729845131533334	-5.80683095906667	0.712306643191222	2.51385846890249e-08	""
"ENSDARG00000092520"	"13030283"	"LOC799170"	"XM_001339521"	"GO:0005515"	"IPR013106"	0.729845131533334	-5.80683095906667	0.712306643191222	2.51385846890249e-08	""
"ENSDARG00000093279"	"13030265"	"LOC798939"	"XM_001339311"	"GO:0005515"	NA	-0.415328363566666	-4.48932532173333	0.86749597742658	1.45387825142107e-06	""
"ENSDARG00000078177"	"13030271"	"cxcr3.1"	"BC154662"	"GO:0007165"	"cdna:novel chromosome:Zv9:16:13373963:13392016:1 gene:ENSDARG00000078177 gene_biotype:protein_coding transcript_biotype:protein_coding"	-0.040630989499999	-3.9620197047	0.990286637923641	2.83824877351941e-06	""
"ENSDARG00000013926"	"13051428"	"slc16a9a"	"ENSDART00000020167"	"GO:0055085"	"solute carrier family 16 (monocarboxylic acid transporters), member 9a"	-0.292161587399999	3.16375186693333	0.88713902836304	7.92250560068194e-06	"SLC16A9"
"ENSDARG00000013926"	"13051428"	"slc16a9a"	"ENSDART00000020167"	"GO:0055085"	"solute carrier family 16 (monocarboxylic acid transporters), member 9a"	-0.292161587399999	3.16375186693333	0.88713902836304	7.92250560068194e-06	"SLC16A9"
"ENSDARG00000053366"	"13083776"	"ENSEMBL"	"ENSDART00000056161"	"GO:0005622"	NA	-0.266029696366667	-2.51638679496667	0.880557533832684	2.50918522047683e-05	""
"ENSDARG00000053366"	"13083776"	"ENSEMBL"	"ENSDART00000056161"	"GO:0005622"	NA	-0.266029696366667	-2.51638679496667	0.880557533832684	2.50918522047683e-05	""
"ENSDARG00000053366"	"13083776"	"ENSEMBL"	"ENSDART00000056161"	"GO:0005622"	NA	-0.266029696366667	-2.51638679496667	0.880557533832684	2.50918522047683e-05	""
"ENSDARG00000053366"	"13083776"	"ENSEMBL"	"ENSDART00000056161"	"GO:0005622"	NA	-0.266029696366667	-2.51638679496667	0.880557533832684	2.50918522047683e-05	""
"ENSDARG00000053366"	"13083776"	"ENSEMBL"	"ENSDART00000056161"	"GO:0005622"	NA	-0.266029696366667	-2.51638679496667	0.880557533832684	2.50918522047683e-05	""
"ENSDARG00000019686"	"13156749"	"FGL2"	"ENSDART00000067277"	"GO:0007165"	NA	0.00850062296666643	1.9977222851	0.996991797634026	2.62105571230393e-05	"FGL2"
"ENSDARG00000052690"	"13207672"	"arrdc3a"	"NM_001080029"	"GO:0007165"	"Danio rerio arrestin domain containing 3, mRNA (cDNA clone MGC:136956 IMAGE:7998246), complete cds."	-0.862812838533333	2.46295973106667	0.443747518517246	3.35264941550458e-05	"ARRDC3"
"ENSDARG00000052690"	"13207672"	"arrdc3a"	"NM_001080029"	"GO:0007165"	"Danio rerio arrestin domain containing 3, mRNA (cDNA clone MGC:136956 IMAGE:7998246), complete cds."	-0.862812838533333	2.46295973106667	0.443747518517246	3.35264941550458e-05	"ARRDC3"
"ENSDARG00000052690"	"13207672"	"arrdc3a"	"NM_001080029"	"GO:0007165"	"Danio rerio arrestin domain containing 3, mRNA (cDNA clone MGC:136956 IMAGE:7998246), complete cds."	-0.862812838533333	2.46295973106667	0.443747518517246	3.35264941550458e-05	"ARRDC3"
"ENSDARG00000042956"	"13102735"	"cyp2ad6"	"NM_001082936"	"GO:0055114"	"Danio rerio cytochrome P450, family 2, subfamily J, polypeptide 29, mRNA (cDNA clone MGC:194870 IMAGE:9038184), complete cds."	-0.380437641266667	2.0315491884	0.770306157580861	6.75866002092766e-05	""
"ENSDARG00000055523"	"13110880"	"oat"	"ENSDART00000077887"	"GO:0055085"	"Danio rerio organic anion transporter (oat), mRNA."	-0.0836037882000022	-2.81059978246667	0.97578729500312	6.75866002092766e-05	"SLC22A8"
"ENSDARG00000055523"	"13110880"	"oat"	"ENSDART00000077887"	"GO:0055085"	"Danio rerio organic anion transporter (oat), mRNA."	-0.0836037882000022	-2.81059978246667	0.97578729500312	6.75866002092766e-05	"SLC22A8"
"ENSDARG00000055523"	"13110880"	"oat"	"ENSDART00000077887"	"GO:0055085"	"Danio rerio organic anion transporter (oat), mRNA."	-0.0836037882000022	-2.81059978246667	0.97578729500312	6.75866002092766e-05	"SLC22A8"
"ENSDARG00000013926"	"13044937"	"slc16a9a"	"ENSDART00000140742"	"GO:0055085"	NA	-0.4160854323	3.02938293076667	0.852778122596677	7.71057444995756e-05	"SLC16A9"
"ENSDARG00000013926"	"13044937"	"slc16a9a"	"ENSDART00000140742"	"GO:0055085"	NA	-0.4160854323	3.02938293076667	0.852778122596677	7.71057444995756e-05	"SLC16A9"
"ENSDARG00000038709"	"13083096"	"si:dkeyp-66d1.7"	"XM_685301"	"GO:0016020"	"cdna:known chromosome:Zv9:2:37475050:37475934:1 gene:ENSDARG00000038709 gene_biotype:protein_coding transcript_biotype:protein_coding"	0.0986134435666681	2.0825728727	0.959949361061796	7.71057444995756e-05	"MYADM"
"ENSDARG00000004060"	"12981028"	"bhlhe40"	"ENSDART00000026017"	"GO:0006355"	"Danio rerio basic helix-loop-helix family, member e40 (bhlhe40), mRNA."	-0.942300901400001	1.88360361683334	0.292165815838215	8.60353634980287e-05	"BHLHE40"
"ENSDARG00000033046"	"13118432"	"LOC100330479"	"ENSDART00000050533"	NA	NA	0.555574499833334	-2.78231391206667	0.762981208695708	0.000107559134135654	"CCNI2"
"ENSDARG00000033046"	"13118432"	"LOC100330479"	"ENSDART00000050533"	NA	NA	0.555574499833334	-2.78231391206667	0.762981208695708	0.000107559134135654	"CCNI2"
"ENSDARG00000041381"	"13062760"	"arntl2"	"ENSDART00000099849"	"GO:0006355"	"Danio rerio aryl hydrocarbon receptor nuclear translocator-like 2 (arntl2), mRNA."	0.306371797333333	-2.4739999909	0.874170218793755	0.000109281695015464	"ARNTL2"
"ENSDARG00000041381"	"13062760"	"arntl2"	"ENSDART00000099849"	"GO:0006355"	"Danio rerio aryl hydrocarbon receptor nuclear translocator-like 2 (arntl2), mRNA."	0.306371797333333	-2.4739999909	0.874170218793755	0.000109281695015464	"ARNTL2"
"ENSDARG00000011703"	"13095489"	"clock"	"ENSDART00000025575"	"GO:0045893"	"Danio rerio transcription factor clock mRNA, complete cds."	0.160564159233333	-2.01306962316666	0.930343923102581	0.000112173938561904	"CLOCK"
"ENSDARG00000011703"	"13095489"	"clock"	"ENSDART00000025575"	"GO:0045893"	"Danio rerio transcription factor clock mRNA, complete cds."	0.160564159233333	-2.01306962316666	0.930343923102581	0.000112173938561904	"CLOCK"
"ENSDARG00000006901"	"13255431"	"AEBP1 (2 of 2)"	"ENSDART00000025875"	"GO:0006508"	"metallocarboxypeptidase activity"	-0.016181519299999	1.82441607086667	0.993573560437118	0.000113190457414295	"AEBP1"
"ENSDARG00000006901"	"13255431"	"AEBP1 (2 of 2)"	"ENSDART00000025875"	"GO:0006508"	"metallocarboxypeptidase activity"	-0.016181519299999	1.82441607086667	0.993573560437118	0.000113190457414295	"AEBP1"
"ENSDARG00000095152"	"13033368"	"LOC793222"	"XM_001332476"	NA	NA	0.4113642548	-2.6683293172	0.838552202612975	0.000134767705538051	""
"ENSDARG00000095152"	"13033368"	"LOC793222"	"XM_001332476"	NA	NA	0.4113642548	-2.6683293172	0.838552202612975	0.000134767705538051	""
"ENSDARG00000077571"	"13142939"	"zgc:174862"	"BC159224"	"GO:0008150"	"cellular_component"	0.0818497401666667	-2.57160222926667	0.975934295247594	0.000160517991408375	""
"ENSDARG00000077571"	"13142939"	"zgc:174862"	"BC159224"	"GO:0008150"	"cellular_component"	0.0818497401666667	-2.57160222926667	0.975934295247594	0.000160517991408375	""
"ENSDARG00000079170"	"13164847"	"zgc:162154"	"NM_001110483"	"GO:0008150"	"zgc:162154"	-0.276772446500001	2.127897742	0.873739218910738	0.000198377033549946	""
"ENSDARG00000056026"	"13214164"	"tprg1"	"ENSDART00000078447"	"GO:0005575"	"Danio rerio tumor protein p63 regulated 1, mRNA (cDNA clone MGC:162933 IMAGE:7921866), complete cds."	-0.0804966740333324	-1.45658422386667	0.958502344325968	0.000300951910076439	"TPRG1"
"ENSDARG00000056026"	"13214164"	"tprg1"	"ENSDART00000078447"	"GO:0005575"	"Danio rerio tumor protein p63 regulated 1, mRNA (cDNA clone MGC:162933 IMAGE:7921866), complete cds."	-0.0804966740333324	-1.45658422386667	0.958502344325968	0.000300951910076439	"TPRG1"
"ENSDARG00000061328"	"13065262"	"cdon"	"NM_001081628"	"GO:0005575"	"cell adhesion molecule-related"	-0.175689322966668	0.980156776433335	0.819751969694131	0.000308232925083176	"CDON"
"ENSDARG00000061328"	"13065262"	"cdon"	"NM_001081628"	"GO:0005575"	"cell adhesion molecule-related"	-0.175689322966668	0.980156776433335	0.819751969694131	0.000308232925083176	"CDON"
"ENSDARG00000037121"	"13210187"	"mat2ab"	"ENSDART00000053963"	"GO:0006730"	"Danio rerio zgc:110847, mRNA (cDNA clone MGC:110847 IMAGE:7155966), complete cds."	0.616849805699996	3.00428104046667	0.786959982299784	0.000428535363534719	"MAT2A"
"ENSDARG00000095915"	"13266711"	"LOC100150496"	"ENSDART00000140346"	"GO:0005515"	NA	-0.1670511834	2.12627822573333	0.940284524372533	0.00046342109142141	""
"ENSDARG00000013087"	"12974618"	"ndrg3a"	"ENSDART00000016181"	NA	"N-myc downstream regulated family member 3a"	-0.104476855633333	-1.4158562778	0.947419446913698	0.000504039452358757	"NDRG3"
"ENSDARG00000013087"	"12974618"	"ndrg3a"	"ENSDART00000016181"	NA	"N-myc downstream regulated family member 3a"	-0.104476855633333	-1.4158562778	0.947419446913698	0.000504039452358757	"NDRG3"
"ENSDARG00000013087"	"12974618"	"ndrg3a"	"ENSDART00000016181"	NA	"N-myc downstream regulated family member 3a"	-0.104476855633333	-1.4158562778	0.947419446913698	0.000504039452358757	"NDRG3"
"ENSDARG00000013087"	"12974618"	"ndrg3a"	"ENSDART00000016181"	NA	"N-myc downstream regulated family member 3a"	-0.104476855633333	-1.4158562778	0.947419446913698	0.000504039452358757	"NDRG3"
"ENSDARG00000013087"	"12974618"	"ndrg3a"	"ENSDART00000016181"	NA	"N-myc downstream regulated family member 3a"	-0.104476855633333	-1.4158562778	0.947419446913698	0.000504039452358757	"NDRG3"
"ENSDARG00000013087"	"12974618"	"ndrg3a"	"ENSDART00000016181"	NA	"N-myc downstream regulated family member 3a"	-0.104476855633333	-1.4158562778	0.947419446913698	0.000504039452358757	"NDRG3"
"ENSDARG00000013087"	"12974618"	"ndrg3a"	"ENSDART00000016181"	NA	"N-myc downstream regulated family member 3a"	-0.104476855633333	-1.4158562778	0.947419446913698	0.000504039452358757	"NDRG3"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST11"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST8"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CSTL1"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST9"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST1"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST4"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST9L"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST5"
"ENSDARG00000074425"	"12967413"	"si:busm1-57f23.1"	"BC096966"	"GO:0004869"	NA	-0.0438494005333334	1.30196953053333	0.977772465855617	0.000567959660874987	"CST2"
"ENSDARG00000019160"	"13027284"	"sh3bp5la"	"ENSDART00000099723"	"GO:0008150"	"Danio rerio SH3-binding domain protein 5-like, a, mRNA (cDNA clone MGC:63903 IMAGE:6790195), complete cds."	0.464439561966665	-1.20338814486666	0.524949023262675	0.000573408919983083	"SH3BP5L"
"ENSDARG00000019160"	"13027284"	"sh3bp5la"	"ENSDART00000099723"	"GO:0008150"	"Danio rerio SH3-binding domain protein 5-like, a, mRNA (cDNA clone MGC:63903 IMAGE:6790195), complete cds."	0.464439561966665	-1.20338814486666	0.524949023262675	0.000573408919983083	"SH3BP5L"
"ENSDARG00000087188"	"13173021"	"nfil3-6"	"ENSDART00000127604"	"GO:0006355"	"Danio rerio zgc:77060, mRNA (cDNA clone MGC:77060 IMAGE:6960019), complete cds."	0.6358267575	1.9643605021	0.609610964435777	0.000573408919983083	""
"ENSDARG00000095048"	"13030288"	"LOC100329252"	"ENSDART00000148313"	NA	NA	-0.316727510400001	-4.6896887681	0.95491125150249	0.000601883775835011	""
"ENSDARG00000095048"	"13030288"	"LOC100329252"	"ENSDART00000148313"	NA	NA	-0.316727510400001	-4.6896887681	0.95491125150249	0.000601883775835011	""
"ENSDARG00000095048"	"13030288"	"LOC100329252"	"ENSDART00000148313"	NA	NA	-0.316727510400001	-4.6896887681	0.95491125150249	0.000601883775835011	""
"ENSDARG00000095048"	"13030288"	"LOC100329252"	"ENSDART00000148313"	NA	NA	-0.316727510400001	-4.6896887681	0.95491125150249	0.000601883775835011	""
