NAME	TITLE	SCORE	
RNF14	ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]	2.8148	
NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	2.3733807	
SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	2.3701277	
SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	2.3701277	
CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	2.3661509	
HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	2.02808	
DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	2.027423	
PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	1.9632274	
HSPB9	heat shock protein family B (small) member 9 [Source:HGNC Symbol;Acc:HGNC:30589]	1.9277878	
PPRC1	PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025]	1.9240541	
ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1.7810509	
GYG2	glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700]	1.767103	
C4B	complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]	1.7460148	
C4A	complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]	1.7460148	
CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	1.6946127	
IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1.6283892	
GHRH	growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]	1.5917964	
IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	1.5751572	
IFI27L1	interferon alpha inducible protein 27 like 1 [Source:HGNC Symbol;Acc:HGNC:19754]	1.5751572	
IFI6	interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]	1.5751572	
CALCOCO1	calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]	1.5725507	
ANKRD1	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	1.5473398	
RAI1	retinoic acid induced 1 [Source:HGNC Symbol;Acc:HGNC:9834]	1.4916742	
EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	1.4428115	
RPP21	ribonuclease P/MRP subunit p21 [Source:HGNC Symbol;Acc:HGNC:21300]	1.4223113	
XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	1.4206522	
CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1.4009298	
NSUN5	NOP2/Sun RNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:16385]	1.3882635	
STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	1.3777925	
AK6	adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151]	1.3527977	
HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	1.3458749	
CCL1	C-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10609]	1.3354164	
PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	1.3341326	
NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	1.330806	
EXD2	exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]	1.3193587	
SNUPN	snurportin 1 [Source:HGNC Symbol;Acc:HGNC:14245]	1.3146523	
TOMM40	translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]	1.3027829	
PHLDA3	pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]	1.3014721	
PUM3	pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676]	1.2994732	
IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	1.2983446	
IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	1.2983446	
MYH15	myosin heavy chain 15 [Source:HGNC Symbol;Acc:HGNC:31073]	1.2901155	
SETD4	SET domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1258]	1.2711083	
PDIA6	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	1.2624454	
ALG1L2	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2 [Source:HGNC Symbol;Acc:HGNC:37258]	1.2588538	
ALG1	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:18294]	1.2588538	
SLC16A11	solute carrier family 16 member 11 [Source:HGNC Symbol;Acc:HGNC:23093]	1.2539796	
SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	1.2497722	
GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	1.2430958	
LIPI	lipase I [Source:HGNC Symbol;Acc:HGNC:18821]	1.2371789	
PNLIPRP3	pancreatic lipase related protein 3 [Source:HGNC Symbol;Acc:HGNC:23492]	1.2371789	
PNLIP	pancreatic lipase [Source:HGNC Symbol;Acc:HGNC:9155]	1.2371789	
GAR1	GAR1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14264]	1.2281455	
AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	1.227682	
PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	1.2259407	
IMP4	IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]	1.2246498	
MYBPC3	myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]	1.2150596	
TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	1.2099279	
PGPEP1L	pyroglutamyl-peptidase I like [Source:HGNC Symbol;Acc:HGNC:27080]	1.1940672	
KLHL40	kelch like family member 40 [Source:HGNC Symbol;Acc:HGNC:30372]	1.191867	
GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	1.1838651	
FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	1.1480795	
SAE1	SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660]	1.1474739	
EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	1.1404924	
ABCF3	ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]	1.1397799	
C18orf21	chromosome 18 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:28802]	1.1320575	
SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	1.1316797	
DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	1.1309516	
WDR75	WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]	1.1299616	
CENPV	centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920]	1.1289892	
CENPVL1	centromere protein V like 1 [Source:HGNC Symbol;Acc:HGNC:31851]	1.1289892	
CENPVL2	centromere protein V like 2 [Source:HGNC Symbol;Acc:HGNC:43879]	1.1289892	
CENPVL3	centromere protein V like 3 [Source:HGNC Symbol;Acc:HGNC:43880]	1.1289892	
CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]	1.1275055	
BMI1	BMI1 proto-oncogene, polycomb ring finger [Source:HGNC Symbol;Acc:HGNC:1066]	1.1228034	
IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]	1.1189965	
MYO7A	myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]	1.1179206	
KBTBD13	kelch repeat and BTB domain containing 13 [Source:HGNC Symbol;Acc:HGNC:37227]	1.1172891	
DENND6B	DENN domain containing 6B [Source:HGNC Symbol;Acc:HGNC:32690]	1.1137431	
PRMT7	protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]	1.1107326	
IPO5	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]	1.1100788	
FIBP	FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]	1.1066507	
NMD3	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	1.1059227	
PGS1	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	1.1036383	
UTP14A	UTP14A small subunit processome component [Source:HGNC Symbol;Acc:HGNC:10665]	1.1005874	
UTP14C	UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321]	1.1005874	
TTF1	transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:12397]	1.098633	
CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	1.0933836	
POLR1C	RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]	1.0902458	
RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	1.0820264	
DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	1.0805364	
DHRS2	dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349]	1.0804255	
CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	1.0804255	
TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	1.0753329	
SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	1.0733283	
NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	1.0715046	
CTU1	cytosolic thiouridylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:29590]	1.0714499	
PAK1IP1	PAK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20882]	1.0702057	
MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	1.0698258	
NUP43	nucleoporin 43 [Source:HGNC Symbol;Acc:HGNC:21182]	1.0676129	
DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	1.066658	
PDCD11	programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]	1.0656241	
MRPL52	mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:HGNC:16655]	1.059336	
UTP4	UTP4 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:1983]	1.0587004	
MAK16	MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]	1.057738	
SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	1.053381	
MLEC	malectin [Source:HGNC Symbol;Acc:HGNC:28973]	1.0512017	
TDP2	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	1.0452613	
SLC35F2	solute carrier family 35 member F2 [Source:HGNC Symbol;Acc:HGNC:23615]	1.0421869	
