NAME	TITLE	SCORE	
URGCP	upregulator of cell proliferation [Source:HGNC Symbol;Acc:HGNC:30890]	3.4802194	
IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	3.0035176	
IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	2.983758	
CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	2.7774527	
MS4A18	membrane spanning 4-domains A18 [Source:HGNC Symbol;Acc:HGNC:37636]	2.515058	
MS4A15	membrane spanning 4-domains A15 [Source:HGNC Symbol;Acc:HGNC:28573]	2.515058	
MS4A14	membrane spanning 4-domains A14 [Source:HGNC Symbol;Acc:HGNC:30706]	2.515058	
MS4A13	membrane spanning 4-domains A13 [Source:HGNC Symbol;Acc:HGNC:16674]	2.515058	
MS4A10	membrane spanning 4-domains A10 [Source:HGNC Symbol;Acc:HGNC:13368]	2.515058	
MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	2.515058	
MS4A6E	membrane spanning 4-domains A6E [Source:HGNC Symbol;Acc:HGNC:14285]	2.515058	
MS4A5	membrane spanning 4-domains A5 [Source:HGNC Symbol;Acc:HGNC:13374]	2.515058	
MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	2.515058	
MS4A2	membrane spanning 4-domains A2 [Source:HGNC Symbol;Acc:HGNC:7316]	2.515058	
MS4A1	membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]	2.515058	
TAT	tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]	2.3675787	
ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	2.2871816	
CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	2.010168	
CCL1	C-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10609]	2.0012405	
AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	1.9284248	
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	1.9243402	
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	1.9243402	
SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	1.9068426	
SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	1.9068426	
B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	1.8321565	
CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	1.7723271	
IRGC	immunity related GTPase cinema [Source:HGNC Symbol;Acc:HGNC:28835]	1.7645923	
IRGM	immunity related GTPase M [Source:HGNC Symbol;Acc:HGNC:29597]	1.7645923	
ANXA3	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]	1.5642518	
SEPTIN14	septin 14 [Source:HGNC Symbol;Acc:HGNC:33280]	1.4902743	
GBP6	guanylate binding protein family member 6 [Source:HGNC Symbol;Acc:HGNC:25395]	1.430049	
PLEKHS1	pleckstrin homology domain containing S1 [Source:HGNC Symbol;Acc:HGNC:26285]	1.406879	
TAPBPL	TAP binding protein like [Source:HGNC Symbol;Acc:HGNC:30683]	1.3913094	
CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	1.2413558	
HPSE	heparanase [Source:HGNC Symbol;Acc:HGNC:5164]	1.1738688	
CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	1.1655139	
CELA1	chymotrypsin like elastase 1 [Source:HGNC Symbol;Acc:HGNC:3308]	1.1385386	
DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	1.1372445	
XCR1	X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1625]	1.1292595	
ME3	malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]	1.1138077	
ACBD4	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]	1.0860412	
NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	1.0747781	
FIBP	FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]	1.0683258	
LECT2	leukocyte cell derived chemotaxin 2 [Source:HGNC Symbol;Acc:HGNC:6550]	1.0598196	
CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1.0448071	
PADI3	peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]	1.0198476	
PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	1.0198476	
PADI4	peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368]	1.0198476	
PADI1	peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]	1.0198476	
PADI6	peptidyl arginine deiminase 6 [Source:HGNC Symbol;Acc:HGNC:20449]	1.0198476	
NMB	neuromedin B [Source:HGNC Symbol;Acc:HGNC:7842]	1.0166662	
CAPN14	calpain 14 [Source:HGNC Symbol;Acc:HGNC:16664]	0.9807081	
OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	0.95331246	
IL13RA2	interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975]	0.9409113	
CBX7	chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]	0.9323215	
SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	0.9250115	
CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	0.91446567	
PGS1	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	0.90312314	
ELMO1	engulfment and cell motility 1 [Source:HGNC Symbol;Acc:HGNC:16286]	0.90192056	
UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	0.89640534	
UBA1	ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]	0.89640534	
MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	0.8953232	
FABP7	fatty acid binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3562]	0.87619066	
ERAP1	endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]	0.8605861	
PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	0.85700536	
TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	0.8411001	
TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	0.8411001	
TNFRSF11A	TNF receptor superfamily member 11a [Source:HGNC Symbol;Acc:HGNC:11908]	0.8411001	
TNFRSF14	TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]	0.8411001	
TNFRSF10C	TNF receptor superfamily member 10c [Source:HGNC Symbol;Acc:HGNC:11906]	0.8411001	
TNFRSF10B	TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]	0.8411001	
TNFRSF10A	TNF receptor superfamily member 10a [Source:HGNC Symbol;Acc:HGNC:11904]	0.8411001	
TNFRSF10D	TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]	0.8411001	
TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	0.8411001	
TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	0.8411001	
TNFRSF25	TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]	0.8411001	
CD27	CD27 molecule [Source:HGNC Symbol;Acc:HGNC:11922]	0.8411001	
LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	0.8411001	
CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	0.83547276	
NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	0.8279843	
RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	0.82706666	
IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	0.8087428	
OSBP2	oxysterol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8504]	0.8020346	
CADM4	cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825]	0.8017804	
GAL3ST3	galactose-3-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:24144]	0.800242	
CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	0.79519683	
PPIL1	peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	0.7773803	
SKAP1	src kinase associated phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15605]	0.767028	
DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	0.76561344	
NMD3	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	0.7601285	
MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	0.7364795	
AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	0.7243731	
DTX3L	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	0.72161394	
RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	0.71118855	
IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	0.7045908	
PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	0.69709647	
ACD	ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]	0.68789136	
RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	0.6827328	
RASA4B	RAS p21 protein activator 4B [Source:HGNC Symbol;Acc:HGNC:35202]	0.66286516	
RASA4	RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181]	0.66286516	
TM4SF18	transmembrane 4 L six family member 18 [Source:HGNC Symbol;Acc:HGNC:25181]	0.6555893	
ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23614]	0.6502734	
CYB561A3	cytochrome b561 family member A3 [Source:HGNC Symbol;Acc:HGNC:23014]	0.63965964	
TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	0.63822055	
UTP4	UTP4 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:1983]	0.6367821	
WDR55	WD repeat domain 55 [Source:HGNC Symbol;Acc:HGNC:25971]	0.63670796	
